2021/01/02 21:07:05 [error] 2594#0: *290750 no resolver defined to resolve ym.shixiaoli.com, client: 61.241.120.68, server: yhliu.shixiaoli.com, request: "GET /api/add HTTP/1.1", host: "yhliu.shixiaoli.com"
2021/01/02 21:41:47 [error] 2722#0: *290791 open() "/home/letmeGC.github.io/public/robots.txt" failed (2: No such file or directory), client: 110.249.201.230, server: yhliu.shixiaoli.com, request: "GET /robots.txt HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/02 21:58:44 [error] 2722#0: *290799 open() "/home/letmeGC.github.io/public/robots.txt" failed (2: No such file or directory), client: 172.93.102.236, server: yhliu.shixiaoli.com, request: "HEAD /robots.txt HTTP/1.0"
2021/01/02 23:52:57 [error] 2722#0: *290809 open() "/home/letmeGC.github.io/public/boaform/admin/formLogin" failed (2: No such file or directory), client: 120.63.206.41, server: yhliu.shixiaoli.com, request: "GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0"
2021/01/03 03:42:11 [error] 2722#0: *290849 open() "/home/letmeGC.github.io/public/robots.txt" failed (2: No such file or directory), client: 220.243.135.28, server: yhliu.shixiaoli.com, request: "GET /robots.txt HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 03:59:37 [error] 2722#0: *290853 open() "/home/letmeGC.github.io/public/cache/global/img/gs.gif" failed (2: No such file or directory), client: 80.82.70.187, server: yhliu.shixiaoli.com, request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2021/01/03 06:06:16 [error] 2722#0: *290865 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 120.0.52.28, server: yhliu.shixiaoli.com, request: "GET /include/tags.class.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.haoyunbaojie.com"
2021/01/03 06:06:16 [error] 2723#0: *290867 open() "/home/letmeGC.github.io/public/op.html" failed (2: No such file or directory), client: 27.224.136.101, server: yhliu.shixiaoli.com, request: "GET /op.html HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:16 [error] 2725#0: *290868 open() "/home/letmeGC.github.io/public/v.asp" failed (2: No such file or directory), client: 220.200.163.243, server: yhliu.shixiaoli.com, request: "GET /v.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:16 [error] 2724#0: *290869 open() "/home/letmeGC.github.io/public/zhide.asp" failed (2: No such file or directory), client: 36.32.3.124, server: yhliu.shixiaoli.com, request: "GET /zhide.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:16 [error] 2725#0: *290870 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 27.224.136.28, server: yhliu.shixiaoli.com, request: "GET /f.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.haoyunbaojie.com"
